nome_municipio,nome_delegacia,ano_ocorrencia,mes_ocorrencia,data_ocorrencia_bo,hora_ocorrencia_bo,periodo_ocorrencia,dia_semana,local_ocorrencia,bairro,logradouro,latitude,longitude,artigo_ocorrencia,tipo_ocorrencia
Sorocaba,Ddm Sorocaba,2025,5,2025-05-16,06:30:00,Não Informado,Sexta-Feira,Casa,Jardim Cecilio Manoel,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-25,,Em Hora Incerta,Domingo,Casa,Altos De Ipanema,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-25,23:30:00,Não Informado,Domingo,Via Pública,Vitória Régia,Avenida Saladino,-23.4709096,-47.4851438,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-26,16:30:00,Não Informado,Segunda-Feira,Casa,Jardim Califórnia,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-25,21:00:00,Não Informado,Domingo,Casa,Jardim Monterrey,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,6,2020-06-01,05:00:00,Não Informado,Segunda-Feira,Casa,Parque Esmeralda,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,5,2025-05-21,,Em Hora Incerta,Quarta-Feira,Berçário/Creche,Ipiranga,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,1,2023-01-01,,Em Hora Incerta,Domingo,Casa,Jardim Tatiana,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Sorocaba,Ddm Sorocaba,2025,5,2025-05-07,22:30:00,Não Informado,Quarta-Feira,Casa,Jardim Sao Marcos,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-14,22:30:00,Não Informado,Quarta-Feira,Casa,Jardim Santa Barbara,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-15,08:30:34,Não Informado,Quinta-Feira,Facebook,Jardim Guaruja,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-28,,Em Hora Incerta,Quarta-Feira,Clube/Centro Esportivo,Central Parque Sorocaba,Rua Mário Soave,-23.5126651,-47.5015024,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-23,01:00:00,Não Informado,Sexta-Feira,Casa,Morros,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-21,16:00:00,Não Informado,Quarta-Feira,Casa,Jardim Sao Conrado,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro - Art. 213,Estupro
Sorocaba,Ddm Sorocaba,2025,5,2025-05-05,23:00:00,Não Informado,Segunda-Feira,Casa,Jardim Guaiba I E Ii,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-06,,Em Hora Incerta,Terça-Feira,Casa,Santa Madre Paulina,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Sorocaba,Ddm Sorocaba,2025,5,2025-05-03,20:00:00,Não Informado,Sábado,Casa,Jardim Guaiba I E Ii,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
