codigo_bo,ano_ocorrencia,data_ocorrencia_bo,nome_municipio,nome_delegacia,tipo_ocorrencia,local_ocorrencia,bairro,flagrante,natureza_autor,sexo_autor,idade_autor,raca_autor,profissao_autor,escolaridade_autor,tipo_prisao_ssp
Ir3758,2024,2024-06-25,Sorocaba,Ddm Sorocaba,,Casa,Portal Do Eden I,N,Capturado,M,39,Branca,Professor(A),Superior Completo,Nº De Infratores Presos Por Mandado
Pc3148,2024,2024-11-01,Votorantim,Ddm Votorantim,,Casa,Vila Dominguinho,N,Capturado,M,47,Branca,Comerciante,2º Grau Completo,Nº De Infratores Presos Por Mandado
Mk5273,2024,2024-09-10,Sorocaba,Ddm Sorocaba,,Casa,Jardim Ipiranga,N,Capturado,M,36,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Iq7224,2024,2024-06-24,Sorocaba,Ddm Sorocaba,,Bar/Botequim,Jardim Santo Amaro,N,Capturado,M,26,Branca,Autonomo(A),1º Grau Completo,Nº De Infratores Presos Por Mandado
Ir1748,2024,2024-06-25,Sorocaba,Ddm Sorocaba,,Casa,Granja Olga Iii,N,Capturado,M,41,Branca,Comerciante,Superior Completo,Nº De Infratores Presos Por Mandado
Gy0589,2024,2024-05-21,Sorocaba,Ddm Sorocaba,,Apartamento,Vila Santa Terezinha,N,Capturado,M,52,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Og6263,2024,2024-10-16,Sorocaba,Ddm Sorocaba,,Casa,Jardim J S Carvalho,N,Capturado,M,37,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Hq1863,2024,2024-06-04,Sorocaba,Ddm Sorocaba,,Via Pública,Brigadeiro Tobias,S,Indiciado,M,38,Branca,Segurança,Não Informado,Nº De Infratores Presos Em Flagrante
Ph8115,2024,2024-11-06,Sorocaba,Ddm Sorocaba,Homicídio Doloso,Apartamento,Jardim Sueli,S,Indiciado,M,37,Branca,Autonomo(A),2º Grau Completo,Nº De Infratores Presos Em Flagrante
If6764,2024,2024-06-17,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Ensino Fundamental,Jardim Josane,S,Indiciado,M,25,Branca,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Oa2727,2024,2024-10-11,Votorantim,Ddm Votorantim,,Casa,Bairro Rio Acima,S,Indiciado,M,38,Branca,Polidor De Veiculos,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Es3004,2024,2024-04-05,Sorocaba,Ddm Sorocaba,,Casa,Cidade Jardim,S,Indiciado,M,33,Branca,Tecnico(A) Telefonia,Não Informado,Nº De Infratores Presos Em Flagrante
Hw9050,2024,2024-06-10,Sorocaba,Ddm Sorocaba,,Casa,Jardim Abatia,S,Indiciado,M,35,Branca,Pedreiro,Não Informado,Nº De Infratores Presos Em Flagrante
Mo9832,2024,2024-09-13,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Vila Zulmira,S,Indiciado,M,32,Branca,Pensionista,Não Informado,Nº De Infratores Presos Em Flagrante
Pp8189,2024,2024-11-12,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Jardim Santa Esmeralda,S,Indiciado,M,35,Branca,Instalador(A),1º Grau Completo,Nº De Infratores Presos Em Flagrante
Df8432,2024,2024-03-06,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Jardim Sol Nascente,S,Indiciado,M,37,Branca,Mecanico(A),Não Informado,Nº De Infratores Presos Em Flagrante
Ru0311,2024,2024-12-24,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Hospital,Jardim Maria Antônia Prado,S,Indiciado,M,38,Branca,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
If6764,2024,2024-06-17,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Ensino Fundamental,Jardim Josane,S,Indiciado,M,35,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Iy5315,2024,2024-07-01,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Mercado,Jardim Maria Do Carmo,S,Indiciado,M,47,Branca,Fiscal,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Co6787,2024,2024-02-23,Votorantim,Ddm Votorantim,,Casa,Jardim Araujo,S,Indiciado,M,24,Branca,Sem Profissao Definida,1º Grau Completo,Nº De Infratores Presos Em Flagrante
Bj6863,2024,2024-01-30,Votorantim,Ddm Votorantim,,Casa,Vila Nova,S,Indiciado,M,24,Branca,Autonomo(A),1º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Np5760,2024,2024-10-03,Sorocaba,Ddm Sorocaba,,Casa,Jardim Tatiana,S,Indiciado,M,33,Branca,Comerciante,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Qs0795,2024,2024-12-03,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Jardim J S Carvalho,S,Indiciado,M,30,Branca,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Rt7887,2024,2024-12-24,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Jardim Santa Luiza,S,Indiciado,F,27,Branca,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Af0374,2024,2024-01-05,Votorantim,Ddm Votorantim,,Casa,Pró Morar - Area Rural,S,Indiciado,M,39,Branca,Catador Material Reciclavel,1º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Nf6591,2024,2024-09-26,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Ipatinga,S,Indiciado,M,32,Branca,Pizzaiolo(A),1º Grau Completo,Nº De Infratores Presos Em Flagrante
Pr3157,2024,2024-11-13,Sorocaba,Ddm Sorocaba,,Casa,Jardim Sao Conrado,S,Indiciado,M,38,Branca,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Ae3277,2024,2024-01-04,Sorocaba,Ddm Sorocaba,,Mercado,Vila Marta,S,Indiciado,M,47,Branca,Gerente Financeiro,Superior Completo,Nº De Infratores Presos Em Flagrante
If6764,2024,2024-06-17,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Ensino Fundamental,Jardim Josane,S,Indiciado,M,25,Branca,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Qs0795,2024,2024-12-03,Sorocaba,Ddm Sorocaba,Porte De Arma,Casa,Jardim J S Carvalho,S,Indiciado,M,30,Branca,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Dp7460,2024,2024-03-14,Sorocaba,Ddm Sorocaba,,Via Pública,Jardim Valera,S,Indiciado,M,31,Branca,Desempregado,Não Informado,Nº De Infratores Presos Em Flagrante
Pj1199,2024,2024-11-06,Sorocaba,Ddm Sorocaba,,Interior De Transporte Coletivo,Vila Alcolea,S,Indiciado,M,23,Branca,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Dg8544,2024,2024-03-07,Votorantim,Ddm Votorantim,Lesão Corporal Dolosa,Casa,Barra Funda,S,Indiciado,M,31,Branca,Desempregado(A),1º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Pf3774,2024,2024-11-04,Sorocaba,Ddm Sorocaba,,Apartamento,Vila Trujilo,S,Indiciado,M,49,Branca,Radialista,Não Informado,Nº De Infratores Presos Em Flagrante
Fh9581,2024,2024-04-17,Votorantim,Ddm Votorantim,Lesão Corporal Dolosa,Casa,Jardim Tatiana,S,Indiciado,M,47,Branca,Garçon(Ete),2º Grau Completo,Nº De Infratores Presos Em Flagrante
Oa0052,2024,2024-10-11,Sorocaba,Ddm Sorocaba,,Casa,Jardim Sao Marcos,S,Indiciado,M,45,Branca,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Oe8489,2024,2024-10-15,Sorocaba,Ddm Votorantim,,Estacionamento Particular,Vila Barcelona,S,Indiciado,M,42,Branca,Torneiro(A) Mecanico,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Dh2641,2024,2024-03-07,Sorocaba,Ddm Sorocaba,,Via Pública,Jardim Simus,S,Indiciado,M,36,Branca,Autonomo(A),Não Informado,Nº De Infratores Presos Em Flagrante
Iw4675,2024,2024-06-28,Sorocaba,Ddm Sorocaba,,Casa,Jardim Santo Amaro,S,Indiciado,M,25,Branca,Lavador(A) De Carro,Não Informado,Nº De Infratores Presos Em Flagrante
Mn4938,2024,2024-09-12,Sorocaba,Ddm Sorocaba,,Casa,Lopes De Oliveira,S,Indiciado,M,33,Branca,Não Informado,1º Grau Completo,Nº De Infratores Presos Em Flagrante
Qr5044,2024,2024-12-03,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Jardim Santa Catarina,S,Indiciado,M,51,Branca,Garçon(Ete),1º Grau Incompleto,Nº De Infratores Presos Em Flagrante
If6764,2024,2024-06-17,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Ensino Fundamental,Jardim Josane,S,Indiciado,M,35,Branca,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Kr6879,2024,2024-08-07,Sorocaba,Ddm Sorocaba,,Ônibus/Lotação/Trolebus,Jardim Maria,S,Indiciado,M,29,Branca,Ajudante De Pedreiro,1º Grau Completo,Nº De Infratores Presos Em Flagrante
Nt1904,2024,2024-10-07,Sorocaba,Ddm Sorocaba,,Casa,Não Informado,S,Indiciado,M,42,Branca,Desempregado,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Pa1605,2024,2024-10-31,Sorocaba,Ddm Sorocaba,,Casa,Parque Das Laranjeiras,S,Indiciado,M,36,Branca,Autonomo(A),2º Grau Completo,Nº De Infratores Presos Em Flagrante
Nz2949,2024,2024-10-10,Sorocaba,Ddm Sorocaba,,Interior De Transporte Coletivo,Jardim Santa Cecilia,S,Indiciado,M,52,Branca,Desempregado,1º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Ij5667,2024,2024-06-19,Sorocaba,Ddm Sorocaba,,Casa,Jardim Magnolias,S,Indiciado,M,34,Branca,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Bm9194,2024,2024-02-01,Votorantim,Ddm Votorantim,Lesão Corporal Dolosa,Casa,Jardim Araujo,S,Indiciado,M,24,Branca,Sem Profissao Definida,1º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Dq1974,2024,2024-03-14,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Ipiranga,S,Indiciado,M,18,Branca,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Iq1875,2024,2024-06-24,Sorocaba,Ddm Sorocaba,,Outros,Conj Hab Ulysses Guimaraes,S,Indiciado,M,31,Branca,Vendedor(A),Não Informado,Nº De Infratores Presos Em Flagrante
Iy6667,2024,2024-07-01,Votorantim,Ddm Votorantim,,Casa,Fornazari,S,Indiciado,M,38,Branca,Sem Profissao Definida,1º Grau Completo,Nº De Infratores Presos Em Flagrante
Eb6721,2024,2024-03-22,Sorocaba,Ddm Sorocaba,,Casa,Jardim Goncalves,S,Indiciado,M,44,Branca,Policial Militar,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Il0715,2024,2024-06-20,Sorocaba,Ddm Sorocaba,,Casa,Jardim Montreal,S,Indiciado,M,47,Branca,Sem Profissao Definida,Não Informado,Nº De Infratores Presos Em Flagrante
Ks6865,2024,2024-08-07,Sorocaba,Ddm Sorocaba,,Casa,Vila Rodrigues,S,Indiciado,M,38,Branca,Desempregado,Não Informado,Nº De Infratores Presos Em Flagrante
Qh7862,2024,2024-11-26,Votorantim,Ddm Votorantim,,Casa,Vila Votocel,S,Indiciado,M,55,Branca,Vigilante,2º Grau Incompleto,Nº De Infratores Presos Em Flagrante
