codigo_bo,nome_municipio,nome_delegacia,ano_ocorrencia,mes_ocorrencia,data_ocorrencia_bo,hora_ocorrencia_bo,periodo_ocorrencia,dia_semana,local_ocorrencia,bairro,logradouro,latitude,longitude,artigo_ocorrencia,tipo_ocorrencia
Fp8358,Sorocaba,Ddm Votorantim,2025,4,2025-04-15,03:00:46,Não Informado,Terça-Feira,Casa,Parque Vereda Dos Bandeirantes,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fi7706,Sorocaba,Ddm Sorocaba,2025,4,2025-04-09,21:30:00,Não Informado,Quarta-Feira,Casa,Vila Barao,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro - Art. 213,Estupro
Ff8772,Sorocaba,Ddm Sorocaba,2025,4,2025-04-09,00:15:00,Não Informado,Quarta-Feira,Casa,Jardim Nova Esperanca,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fo0518,Sorocaba,Ddm Sorocaba,2025,4,2025-04-15,10:18:00,Não Informado,Terça-Feira,Via Pública,Vila Trujillo,Avenida Doutor Armando Sales De Oliveira,-23.4931749,-47.4724386,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fc4598,Sorocaba,Ddm Sorocaba,2025,4,2025-04-06,23:50:00,Não Informado,Domingo,Casa,Jardim Dos Pássaros,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fx1846,Sorocaba,Ddm Sorocaba,2025,4,2025-04-20,15:00:00,Não Informado,Domingo,Casa,Éden,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Gh0474,Sorocaba,Ddm Sorocaba,2025,4,2025-04-28,08:00:39,Não Informado,Segunda-Feira,Casa,Jardim Harmonia,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fp2636,Sorocaba,Ddm Sorocaba,2025,4,2025-04-15,20:30:00,Não Informado,Terça-Feira,Casa,Novo Cajuru,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Roubo (Art. 157),Roubo - Outros
Fe0878,Sorocaba,Ddm Sorocaba,2025,4,2025-04-07,,Em Hora Incerta,Segunda-Feira,Bar/Botequim,Brigadeiro Tobias,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro - Art. 213,Estupro
Ey4712,Sorocaba,Ddm Sorocaba,2025,2,2023-02-01,15:00:45,Não Informado,Quarta-Feira,Casa,Jardim Botucatu,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Fo2571,Sorocaba,Ddm Sorocaba,2025,4,2020-04-01,,Em Hora Incerta,Quarta-Feira,Casa,Habiteto,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Gh9140,Sorocaba,Ddm Sorocaba,2025,10,2022-10-12,,A Noite,Quarta-Feira,Casa,Parque São Bento,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Eu6953,Sorocaba,Ddm Sorocaba,2025,4,2025-04-01,12:35:00,Não Informado,Terça-Feira,Via Pública,Não Informado,Rua Professor Milton Almeida Dos Santos,-23.4709096,-47.4851438,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ev8168,Sorocaba,Ddm Sorocaba,2025,4,2025-04-01,,Em Hora Incerta,Terça-Feira,Casa,Jardim Novo Horizonte,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ev9689,Sorocaba,Ddm Sorocaba,2025,3,2025-03-31,,Em Hora Incerta,Segunda-Feira,Casa,Vila Barao,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fb2663,Sorocaba,Ddm Sorocaba,2025,4,2025-04-06,23:00:00,Não Informado,Domingo,Casa,Vila Elza,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
